design,source,epochs,batch_size,train_steps,initial_loss,final_loss,loss_delta,loss_decreased,training_compare,native_accumulated_optimizer,eval_only_loss_mode,software_reference_match,status,notes
deeplearn_Pipeline_VITIS_LOOP_221_51,artifacts/training_cnn_stream_converge_2epoch_b2_balanced/build/hls/fpgai_hls_proj/sol1/.autopilot/db/cmplx.5.0.fe.end.json,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
deeplearn_Pipeline_VITIS_LOOP_222_52,artifacts/training_cnn_stream_converge_3epoch_b2_balanced/build/hls/fpgai_hls_proj/sol1/.autopilot/db/cmplx.5.0.fe.end.json,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
deeplearn_Pipeline_VITIS_LOOP_224_53,artifacts/training_cnn_stream_converge_2epoch_b2_balanced/build/hls/fpgai_hls_proj/sol1/.autopilot/db/cmplx.5.0.fe.end.json,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
deeplearn_Pipeline_VITIS_LOOP_234_55,artifacts/training_cnn_stream_converge_3epoch_b4_balanced/build/hls/fpgai_hls_proj/sol1/.autopilot/db/cmplx.5.0.fe.end.json,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
deeplearn_Pipeline_VITIS_LOOP_238_58,artifacts/training_cnn_stream_converge_3epoch_b4_balanced/build/hls/fpgai_hls_proj/sol1/.autopilot/db/cmplx.5.0.fe.end.json,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
deeplearn_fdiv_32ns_32ns_32_16_no_dsp_1_ip,artifacts/training_cnn_stream_converge_2epoch_b2_balanced/build/hls/fpgai_hls_proj/sol1/sol1_data.json,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
deeplearn_fdiv_32ns_32ns_32_30_no_dsp_1_ip,artifacts/training_cnn_stream_converge_2epoch_b2_balanced/build/hls/fpgai_hls_proj/sol1/sol1_data.json,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
deeplearn_fpext_32ns_64_2_no_dsp_1_ip,artifacts/training_cnn_stream_converge_2epoch_b2_balanced/build/hls/fpgai_hls_proj/sol1/sol1_data.json,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
deeplearn_fpext_32ns_64_4_no_dsp_1_ip,artifacts/training_cnn_stream_converge_2epoch_b2_balanced/build/hls/fpgai_hls_proj/sol1/sol1_data.json,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
deeplearn_sitofp_32ns_32_6_no_dsp_1_ip,artifacts/training_cnn_stream_converge_2epoch_b2_balanced/build/hls/fpgai_hls_proj/sol1/sol1_data.json,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
deeplearn_sitofp_32ns_32_7_no_dsp_1_ip,artifacts/training_cnn_stream_converge_2epoch_b2_balanced/build/hls/fpgai_hls_proj/sol1/sol1_data.json,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
dense0,artifacts/training_cnn_stream_converge_2epoch_b2_balanced/build/ir/layerwise_precision.json,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
"dense_backward_input_typed<676, 10, ap_fixed<32, 16, AP_TRN, AP_WRAP, 0>, ap_fixed<20, 8, AP_TRN, AP_WRAP, 0>, ap_fixed<32, 16, AP_TRN, AP_WRAP, 0>, ap_fixed<40, 20, AP_TRN, AP_WRAP, 0>, 1, 2, 2, 2, 2, 4>",artifacts/training_cnn_stream_converge_2epoch_b2_balanced/build/hls/fpgai_hls_proj/sol1/.autopilot/db/cmplx.3.000.fe.link.json,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
"dense_bias_grad_typed<10, ap_fixed<32, 16, AP_TRN, AP_WRAP, 0>, ap_fixed<32, 16, AP_TRN, AP_WRAP, 0>, 1, 2>",artifacts/training_cnn_stream_converge_2epoch_b2_balanced/build/hls/fpgai_hls_proj/sol1/.autopilot/db/cmplx.3.001.fe.unroll-raw.json,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
"dense_out_in<676, 10, ap_fixed<24, 12, AP_TRN, AP_WRAP, 0>, ap_fixed<24, 12, AP_TRN, AP_WRAP, 0>, ap_fixed<20, 8, AP_TRN, AP_WRAP, 0>, ap_fixed<32, 16, AP_TRN, AP_WRAP, 0>, ap_fixed<40, 20, AP_TRN, AP_WRAP, 0>, 1, 2, 2, 2, 2, 4>",artifacts/training_cnn_stream_converge_2epoch_b2_balanced/build/hls/fpgai_hls_proj/sol1/.autopilot/db/cmplx.3.001.fe.unroll-raw.json,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
"dense_weight_grad_typed<676, 10, ap_fixed<24, 12, AP_TRN, AP_WRAP, 0>, ap_fixed<32, 16, AP_TRN, AP_WRAP, 0>, ap_fixed<20, 8, AP_TRN, AP_WRAP, 0>, ap_fixed<40, 20, AP_TRN, AP_WRAP, 0>, 1, 2, 2, 2, 2, 4>",artifacts/training_cnn_stream_converge_2epoch_b2_balanced/build/hls/fpgai_hls_proj/sol1/.autopilot/db/cmplx.3.001.fe.unroll-raw.json,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
emit_stream_block<40>,artifacts/training_cnn_stream_converge_2epoch_b2_balanced/build/hls/fpgai_hls_proj/sol1/.autopilot/db/cmplx.3.000.fe.link.json,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
emit_stream_block<6770>,artifacts/training_cnn_stream_converge_2epoch_b2_balanced/build/hls/fpgai_hls_proj/sol1/.autopilot/db/cmplx.3.001.fe.unroll-raw.json,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
"exp_approx_neg_scalar_typed<ap_fixed<24, 12, AP_TRN, AP_WRAP, 0>, ap_fixed<40, 20, AP_TRN, AP_WRAP, 0>, ap_fixed<40, 20, AP_TRN, AP_WRAP, 0> >",artifacts/training_cnn_stream_converge_3epoch_b2_balanced/build/hls/fpgai_hls_proj/sol1/.autopilot/db/cmplx.3.000.fe.link.json,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
f32_to_u32,artifacts/training_cnn_stream_converge_2epoch_b2_balanced/build/hls/fpgai_hls_proj/sol1/.autopilot/db/cmplx.3.000.fe.link.json,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
layer_0,artifacts/training_cnn_stream_converge_2epoch_b2_balanced/build/hls_artifact_metadata.json,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
layer_1,artifacts/training_cnn_stream_converge_2epoch_b2_balanced/build/hls_artifact_metadata.json,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
layer_2,artifacts/training_cnn_stream_converge_2epoch_b2_balanced/build/hls_artifact_metadata.json,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
layer_3,artifacts/training_cnn_stream_converge_2epoch_b2_balanced/build/hls_artifact_metadata.json,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
layer_4,artifacts/training_cnn_stream_converge_2epoch_b2_balanced/build/hls_artifact_metadata.json,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
layer_5,artifacts/training_cnn_stream_converge_2epoch_b2_balanced/build/hls_artifact_metadata.json,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
"maxpool2d<26, 26, 4, 2, 2, 13, 13>",artifacts/training_cnn_stream_converge_2epoch_b2_balanced/build/hls/fpgai_hls_proj/sol1/.autopilot/db/cmplx.3.000.fe.link.json,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
"maxpool2d_backward<26, 26, 4, 2, 2, 13, 13>",artifacts/training_cnn_stream_converge_2epoch_b2_balanced/build/hls/fpgai_hls_proj/sol1/.autopilot/db/cmplx.3.000.fe.link.json,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
"maxpool2d_backward_typed<26, 26, 4, 2, 2, 13, 13, ap_fixed<24, 12, AP_TRN, AP_WRAP, 0>, ap_fixed<32, 16, AP_TRN, AP_WRAP, 0>, ap_fixed<32, 16, AP_TRN, AP_WRAP, 0>, ap_fixed<40, 20, AP_TRN, AP_WRAP, 0> >",artifacts/training_cnn_stream_converge_2epoch_b2_balanced/build/hls/fpgai_hls_proj/sol1/.autopilot/db/cmplx.3.000.fe.link.json,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
maxpool2d_backward_typed_Pipeline_VITIS_LOOP_229_1,artifacts/training_cnn_stream_converge_3epoch_b2_balanced/build/hls/fpgai_hls_proj/sol1/.autopilot/db/cmplx.5.0.fe.end.json,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
"maxpool2d_typed<26, 26, 4, 2, 2, 13, 13, ap_fixed<24, 12, AP_TRN, AP_WRAP, 0>, ap_fixed<24, 12, AP_TRN, AP_WRAP, 0> >",artifacts/training_cnn_stream_converge_2epoch_b2_balanced/build/hls/fpgai_hls_proj/sol1/.autopilot/db/cmplx.3.001.fe.unroll-raw.json,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
mode,artifacts/training_cnn_stream_converge_2epoch_b2_balanced/build/hls/fpgai_hls_proj/sol1/sol1_data.json,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
name,artifacts/training_cnn_stream_converge_2epoch_b2_balanced/build/hls/fpgai_hls_proj/sol1/.autopilot/db/all.directive.json,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
op0,artifacts/training_cnn_stream_converge_2epoch_b2_balanced/build/ir/layerwise_precision.json,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
pool0,artifacts/training_cnn_stream_converge_2epoch_b2_balanced/build/ir/layerwise_precision.json,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
read_f32,artifacts/training_cnn_stream_converge_2epoch_b2_balanced/build/hls/fpgai_hls_proj/sol1/.autopilot/db/cmplx.3.000.fe.link.json,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
relu<2704>,artifacts/training_cnn_stream_converge_2epoch_b2_balanced/build/hls/fpgai_hls_proj/sol1/.autopilot/db/cmplx.3.000.fe.link.json,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
relu_backward_from_output<2704>,artifacts/training_cnn_stream_converge_2epoch_b2_balanced/build/hls/fpgai_hls_proj/sol1/.autopilot/db/cmplx.3.000.fe.link.json,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
"relu_backward_from_output_typed<2704, ap_fixed<24, 12, AP_TRN, AP_WRAP, 0>, ap_fixed<32, 16, AP_TRN, AP_WRAP, 0>, ap_fixed<32, 16, AP_TRN, AP_WRAP, 0> >",artifacts/training_cnn_stream_converge_2epoch_b2_balanced/build/hls/fpgai_hls_proj/sol1/.autopilot/db/cmplx.3.000.fe.link.json,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
"relu_typed<2704, ap_fixed<24, 12, AP_TRN, AP_WRAP, 0>, ap_fixed<24, 12, AP_TRN, AP_WRAP, 0> >",artifacts/training_cnn_stream_converge_2epoch_b2_balanced/build/hls/fpgai_hls_proj/sol1/.autopilot/db/cmplx.3.000.fe.link.json,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
reshape_copy<676>,artifacts/training_cnn_stream_converge_2epoch_b2_balanced/build/hls/fpgai_hls_proj/sol1/.autopilot/db/cmplx.3.000.fe.link.json,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
"reshape_copy_typed<676, ap_fixed<24, 12, AP_TRN, AP_WRAP, 0>, ap_fixed<24, 12, AP_TRN, AP_WRAP, 0> >",artifacts/training_cnn_stream_converge_2epoch_b2_balanced/build/hls/fpgai_hls_proj/sol1/.autopilot/db/cmplx.3.003.fe.inline-raw.json,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
"sgd_update_bias_typed<10, ap_fixed<32, 16, AP_TRN, AP_WRAP, 0>, ap_fixed<32, 16, AP_TRN, AP_WRAP, 0>, ap_fixed<40, 20, AP_TRN, AP_WRAP, 0>, ap_fixed<40, 20, AP_TRN, AP_WRAP, 0>, 1, 2>",artifacts/training_cnn_stream_converge_2epoch_b2_balanced/build/hls/fpgai_hls_proj/sol1/.autopilot/db/cmplx.3.000.fe.link.json,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
"sgd_update_bias_typed<4, ap_fixed<32, 16, AP_TRN, AP_WRAP, 0>, ap_fixed<32, 16, AP_TRN, AP_WRAP, 0>, ap_fixed<40, 20, AP_TRN, AP_WRAP, 0>, ap_fixed<40, 20, AP_TRN, AP_WRAP, 0>, 1, 2>",artifacts/training_cnn_stream_converge_2epoch_b2_balanced/build/hls/fpgai_hls_proj/sol1/.autopilot/db/cmplx.3.000.fe.link.json,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
"sgd_update_wgt_typed<36, ap_fixed<20, 8, AP_TRN, AP_WRAP, 0>, ap_fixed<20, 8, AP_TRN, AP_WRAP, 0>, ap_fixed<40, 20, AP_TRN, AP_WRAP, 0>, ap_fixed<40, 20, AP_TRN, AP_WRAP, 0>, 1, 4>",artifacts/training_cnn_stream_converge_2epoch_b2_balanced/build/hls/fpgai_hls_proj/sol1/.autopilot/db/cmplx.3.000.fe.link.json,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
"sgd_update_wgt_typed<6760, ap_fixed<20, 8, AP_TRN, AP_WRAP, 0>, ap_fixed<20, 8, AP_TRN, AP_WRAP, 0>, ap_fixed<40, 20, AP_TRN, AP_WRAP, 0>, ap_fixed<40, 20, AP_TRN, AP_WRAP, 0>, 1, 4>",artifacts/training_cnn_stream_converge_2epoch_b2_balanced/build/hls/fpgai_hls_proj/sol1/.autopilot/db/cmplx.3.000.fe.link.json,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
softmax<10>,artifacts/training_cnn_stream_converge_2epoch_b2_balanced/build/hls/fpgai_hls_proj/sol1/.autopilot/db/cmplx.3.000.fe.link.json,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
"softmax_typed<10, ap_fixed<24, 12, AP_TRN, AP_WRAP, 0>, ap_fixed<24, 12, AP_TRN, AP_WRAP, 0>, ap_fixed<40, 20, AP_TRN, AP_WRAP, 0> >",artifacts/training_cnn_stream_converge_2epoch_b2_balanced/build/hls/fpgai_hls_proj/sol1/.autopilot/db/cmplx.3.000.fe.link.json,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
"softmax_typed<10,ap_fixed,ap_fixed,ap_fixed<40,20,5,3,0>>_Pipeline_VITIS_LOOP_28",artifacts/training_cnn_stream_converge_3epoch_b2_balanced/build/hls/fpgai_hls_proj/sol1/.autopilot/db/cmplx.5.0.fe.end.json,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
"softmax_typed<10,ap_fixed,ap_fixed,ap_fixed<40,20,5,3,0>>_Pipeline_VITIS_LOOP_30",artifacts/training_cnn_stream_converge_3epoch_b4_balanced/build/hls/fpgai_hls_proj/sol1/.autopilot/db/cmplx.5.0.fe.end.json,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
"softmax_typed<10,ap_fixed,ap_fixed,ap_fixed<40,20,5,3,0>>_Pipeline_VITIS_LOOP_33",artifacts/training_cnn_stream_converge_3epoch_b2_balanced/build/hls/fpgai_hls_proj/sol1/.autopilot/db/cmplx.5.0.fe.end.json,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
sprint13f_training_multi_epoch_convergence_v3,results.json,training.execution.epochs,training.execution.batch_size,training.execution.train_steps,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
training_cnn_stream_converge_2epoch_b2_balanced,training_multi_epoch_convergence_evidence/evidence.json,,2,2,1.870488,0,1.870488,True,True,True,UNKNOWN,UNKNOWN,UNKNOWN,loss_points=2
training_cnn_stream_converge_3epoch_b2_balanced,training_multi_epoch_convergence_evidence/evidence.json,,2,3,1.870488,0,1.870488,True,True,True,UNKNOWN,UNKNOWN,UNKNOWN,loss_points=2
training_cnn_stream_converge_3epoch_b4_balanced,training_multi_epoch_convergence_evidence/evidence.json,,4,3,1.870488,0,1.870488,True,True,True,UNKNOWN,UNKNOWN,UNKNOWN,loss_points=2
u32_to_f32,artifacts/training_cnn_stream_converge_2epoch_b2_balanced/build/hls/fpgai_hls_proj/sol1/.autopilot/db/cmplx.3.000.fe.link.json,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
write_f32,artifacts/training_cnn_stream_converge_2epoch_b2_balanced/build/hls/fpgai_hls_proj/sol1/.autopilot/db/cmplx.3.001.fe.unroll-raw.json,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,
