design,board,mode,group,run_dir,manifest_exists,prediction_available,model_profile_exists,resource_prediction_exists,timing_prediction_exists,prediction_summary_exists,hls_available,hls_top_csynth_xml,hls_top_csynth_rpt,hls_status,vivado_bridge_available,vivado_manifest_exists,vivado_run_artifacts_exists,vivado_ok,vivado_returncode,vivado_failure_class,vivado_error,vivado_reports_present,bitstream_exists,xsa_exists,paper_status
pynq_z2_baseline_safe_fx16,pynq_z2,inference,baseline,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/pynq_z2_baseline_safe_fx16,True,True,True,True,True,True,True,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/pynq_z2_baseline_safe_fx16/hls/fpgai_hls_proj/sol1/syn/report/deeplearn_csynth.xml,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/pynq_z2_baseline_safe_fx16/hls/fpgai_hls_proj/sol1/syn/report/deeplearn_csynth.rpt,full_csynth,False,False,False,,,,,False,False,False,hls_only
kv260_baseline_safe_fx16,kv260,inference,baseline,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kv260_baseline_safe_fx16,True,True,True,True,True,True,True,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kv260_baseline_safe_fx16/hls/fpgai_hls_proj/sol1/syn/report/deeplearn_csynth.xml,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kv260_baseline_safe_fx16/hls/fpgai_hls_proj/sol1/syn/report/deeplearn_csynth.rpt,full_csynth,True,True,True,True,,,,True,True,True,vivado_impl_bitstream_ready
kr260_baseline_safe_fx16,kr260,inference,baseline,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kr260_baseline_safe_fx16,True,True,True,True,True,True,True,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kr260_baseline_safe_fx16/hls/fpgai_hls_proj/sol1/syn/report/deeplearn_csynth.xml,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kr260_baseline_safe_fx16/hls/fpgai_hls_proj/sol1/syn/report/deeplearn_csynth.rpt,full_csynth,False,False,False,,,,,False,False,False,hls_only
kv260_precision_fx16_6,kv260,inference,precision,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kv260_precision_fx16_6,True,True,True,True,True,True,True,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kv260_precision_fx16_6/hls/fpgai_hls_proj/sol1/syn/report/deeplearn_csynth.xml,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kv260_precision_fx16_6/hls/fpgai_hls_proj/sol1/syn/report/deeplearn_csynth.rpt,full_csynth,False,False,False,,,,,False,False,False,hls_only
kv260_precision_fx12_4,kv260,inference,precision,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kv260_precision_fx12_4,True,True,True,True,True,True,True,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kv260_precision_fx12_4/hls/fpgai_hls_proj/sol1/syn/report/deeplearn_csynth.xml,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kv260_precision_fx12_4/hls/fpgai_hls_proj/sol1/syn/report/deeplearn_csynth.rpt,full_csynth,False,False,False,,,,,False,False,False,hls_only
kv260_precision_fx8_3,kv260,inference,precision,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kv260_precision_fx8_3,True,True,True,True,True,True,True,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kv260_precision_fx8_3/hls/fpgai_hls_proj/sol1/syn/report/deeplearn_csynth.xml,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kv260_precision_fx8_3/hls/fpgai_hls_proj/sol1/syn/report/deeplearn_csynth.rpt,full_csynth,True,True,True,True,,,,True,True,True,vivado_impl_bitstream_ready
kv260_parallel_x1,kv260,inference,parallelism,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kv260_parallel_x1,True,True,True,True,True,True,True,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kv260_parallel_x1/hls/fpgai_hls_proj/sol1/syn/report/deeplearn_csynth.xml,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kv260_parallel_x1/hls/fpgai_hls_proj/sol1/syn/report/deeplearn_csynth.rpt,full_csynth,False,False,False,,,,,False,False,False,hls_only
kv260_parallel_x2,kv260,inference,parallelism,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kv260_parallel_x2,True,True,True,True,True,True,True,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kv260_parallel_x2/hls/fpgai_hls_proj/sol1/syn/report/deeplearn_csynth.xml,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kv260_parallel_x2/hls/fpgai_hls_proj/sol1/syn/report/deeplearn_csynth.rpt,full_csynth,False,False,False,,,,,False,False,False,hls_only
kv260_parallel_x4,kv260,inference,parallelism,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kv260_parallel_x4,True,True,True,True,True,True,True,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kv260_parallel_x4/hls/fpgai_hls_proj/sol1/syn/report/deeplearn_csynth.xml,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kv260_parallel_x4/hls/fpgai_hls_proj/sol1/syn/report/deeplearn_csynth.rpt,full_csynth,False,False,False,,,,,False,False,False,hls_only
kv260_parallel_x8,kv260,inference,parallelism,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kv260_parallel_x8,True,True,True,True,True,True,True,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kv260_parallel_x8/hls/fpgai_hls_proj/sol1/syn/report/deeplearn_csynth.xml,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kv260_parallel_x8/hls/fpgai_hls_proj/sol1/syn/report/deeplearn_csynth.rpt,full_csynth,True,True,True,True,,,,True,True,True,vivado_impl_bitstream_ready
kv260_pipeline_balanced_ii2,kv260,inference,pipeline,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kv260_pipeline_balanced_ii2,True,True,True,True,True,True,True,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kv260_pipeline_balanced_ii2/hls/fpgai_hls_proj/sol1/syn/report/deeplearn_csynth.xml,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kv260_pipeline_balanced_ii2/hls/fpgai_hls_proj/sol1/syn/report/deeplearn_csynth.rpt,full_csynth,False,False,False,,,,,False,False,False,hls_only
kv260_pipeline_aggressive_ii1,kv260,inference,pipeline,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kv260_pipeline_aggressive_ii1,True,True,True,True,True,True,True,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kv260_pipeline_aggressive_ii1/hls/fpgai_hls_proj/sol1/syn/report/deeplearn_csynth.xml,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kv260_pipeline_aggressive_ii1/hls/fpgai_hls_proj/sol1/syn/report/deeplearn_csynth.rpt,full_csynth,False,False,False,,,,,False,False,False,hls_only
kv260_tiling_small,kv260,inference,tiling,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kv260_tiling_small,True,True,True,True,True,True,True,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kv260_tiling_small/hls/fpgai_hls_proj/sol1/syn/report/deeplearn_csynth.xml,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kv260_tiling_small/hls/fpgai_hls_proj/sol1/syn/report/deeplearn_csynth.rpt,full_csynth,False,False,False,,,,,False,False,False,hls_only
kv260_tiling_medium,kv260,inference,tiling,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kv260_tiling_medium,True,True,True,True,True,True,True,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kv260_tiling_medium/hls/fpgai_hls_proj/sol1/syn/report/deeplearn_csynth.xml,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kv260_tiling_medium/hls/fpgai_hls_proj/sol1/syn/report/deeplearn_csynth.rpt,full_csynth,False,False,False,,,,,False,False,False,hls_only
kv260_tiling_large,kv260,inference,tiling,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kv260_tiling_large,True,True,True,True,True,True,True,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kv260_tiling_large/hls/fpgai_hls_proj/sol1/syn/report/deeplearn_csynth.xml,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kv260_tiling_large/hls/fpgai_hls_proj/sol1/syn/report/deeplearn_csynth.rpt,full_csynth,False,False,False,,,,,False,False,False,hls_only
kv260_memory_bram,kv260,inference,memory,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kv260_memory_bram,True,True,True,True,True,True,True,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kv260_memory_bram/hls/fpgai_hls_proj/sol1/syn/report/deeplearn_csynth.xml,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kv260_memory_bram/hls/fpgai_hls_proj/sol1/syn/report/deeplearn_csynth.rpt,full_csynth,False,False,False,,,,,False,False,False,hls_only
kv260_memory_uram,kv260,inference,memory,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kv260_memory_uram,True,True,True,True,True,True,True,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kv260_memory_uram/hls/fpgai_hls_proj/sol1/syn/report/deeplearn_csynth.xml,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kv260_memory_uram/hls/fpgai_hls_proj/sol1/syn/report/deeplearn_csynth.rpt,full_csynth,True,True,True,True,,,,True,True,True,vivado_impl_bitstream_ready
kv260_combined_aggressive_fx8,kv260,inference,combined,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kv260_combined_aggressive_fx8,True,True,True,True,True,True,True,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kv260_combined_aggressive_fx8/hls/fpgai_hls_proj/sol1/syn/report/deeplearn_csynth.xml,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kv260_combined_aggressive_fx8/hls/fpgai_hls_proj/sol1/syn/report/deeplearn_csynth.rpt,full_csynth,False,False,False,,,,,False,False,False,hls_only
training_kv260_safe_fx16_6,kv260,training_on_device,training,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/training_kv260_safe_fx16_6,True,True,True,True,True,True,True,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/training_kv260_safe_fx16_6/hls/fpgai_hls_proj/sol1/syn/report/deeplearn_csynth.xml,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/training_kv260_safe_fx16_6/hls/fpgai_hls_proj/sol1/syn/report/deeplearn_csynth.rpt,full_csynth,True,True,True,False,1,vivado_impl_failed_board_capacity_lut_overutilized,vivado_impl_failed_board_capacity_lut_overutilized,True,False,False,vivado_board_capacity_rejected
training_kv260_aggressive_fx8_3,kv260,training_on_device,training,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/training_kv260_aggressive_fx8_3,True,True,True,True,True,True,True,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/training_kv260_aggressive_fx8_3/hls/fpgai_hls_proj/sol1/syn/report/deeplearn_csynth.xml,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/training_kv260_aggressive_fx8_3/hls/fpgai_hls_proj/sol1/syn/report/deeplearn_csynth.rpt,full_csynth,False,False,False,,,,,False,False,False,hls_only
