run,contract_present,contract_knob_count,normalized_schema_reported,hls_source_present,hls_source_markers,hls_report_present,hls_lut,hls_ff,hls_dsp,hls_bram18,hls_uram,hls_worst_latency,runtime_weights_mode,runtime_weights_required,runtime_weights_present,runtime_weights_total_words,runtime_weights_status,vivado_present,vivado_artifact_count,vivado_artifact_examples,status
kr260_baseline_safe_fx16,True,18,False,True,pipeline_pragmas;unroll_pragmas;array_partition_pragmas;dense_tiling,True,5991,4272,10,7,0,182,embedded,False,False,0,not_required,False,0,,hls_validated
kv260_baseline_safe_fx16,True,18,False,True,pipeline_pragmas;unroll_pragmas;array_partition_pragmas;dense_tiling,True,5991,4272,10,7,0,182,embedded,False,False,0,not_required,True,72,vivado_bridge/bitstream/fpgai_bd.xsa;vivado_bridge/bitstream/fpgai_bd_wrapper.bit;vivado_bridge/project/fpgai_vivado.cache/ip/2023.2/1/0/103c2b314d0507f9/fpgai_bd_xbar_1.dcp;vivado_bridge/project/fpgai_vivado.cache/ip/2023.2/1/1/11c6067bf0b8bf6d/fpgai_bd_auto_ds_0.dcp;vivado_bridge/project/fpgai_vivado.cache/ip/2023.2/2/5/25f65dfa0efc8203/fpgai_bd_axi_dma_0_0.dcp,hls_validated
kv260_combined_aggressive_fx8,True,18,False,True,pipeline_pragmas;unroll_pragmas;array_partition_pragmas;dense_tiling,True,3472,1858,7,1,0,59,embedded,False,False,0,not_required,False,0,,hls_validated
kv260_memory_bram,True,18,False,True,pipeline_pragmas;unroll_pragmas;array_partition_pragmas;dense_tiling,True,5056,3531,24,5,0,90,embedded,False,False,0,not_required,False,0,,hls_validated
kv260_memory_ddr,True,18,False,True,weights_mode_comment;ddr_runtime_load;weights_mem_m_axi;pipeline_pragmas;unroll_pragmas;array_partition_pragmas;dense_tiling,True,11750,6932,34,9,0,190,ddr,True,True,46,created,False,0,,hls_validated
kv260_memory_ddr_new_schema,True,22,True,True,weights_mode_comment;ddr_runtime_load;weights_mem_m_axi;pipeline_pragmas;unroll_pragmas;array_partition_pragmas;dense_tiling,True,11750,6932,34,9,0,190,ddr,True,True,46,created,False,0,,hls_validated
kv260_memory_uram,True,18,False,True,weights_mode_comment;uram_runtime_load;weights_mem_m_axi;uram_bind_storage;pipeline_pragmas;unroll_pragmas;array_partition_pragmas;dense_tiling,True,12653,6905,34,9,18,197,uram,True,True,46,created,False,0,,hls_validated
kv260_parallel_x1,True,18,False,True,pipeline_pragmas;unroll_pragmas;array_partition_pragmas;dense_tiling,True,4869,4378,6,5,0,247,embedded,False,False,0,not_required,False,0,,hls_validated
kv260_parallel_x2,True,18,False,True,pipeline_pragmas;unroll_pragmas;array_partition_pragmas;dense_tiling,True,5991,4272,10,7,0,182,embedded,False,False,0,not_required,False,0,,hls_validated
kv260_parallel_x4,True,18,False,True,pipeline_pragmas;unroll_pragmas;array_partition_pragmas;dense_tiling,True,5056,3531,24,5,0,90,embedded,False,False,0,not_required,False,0,,hls_validated
kv260_parallel_x8,True,18,False,True,pipeline_pragmas;unroll_pragmas;array_partition_pragmas;dense_tiling,True,3584,3334,35,1,0,80,embedded,False,False,0,not_required,True,72,vivado_bridge/bitstream/fpgai_bd.xsa;vivado_bridge/bitstream/fpgai_bd_wrapper.bit;vivado_bridge/project/fpgai_vivado.cache/ip/2023.2/1/0/103c2b314d0507f9/fpgai_bd_xbar_1.dcp;vivado_bridge/project/fpgai_vivado.cache/ip/2023.2/1/1/11c6067bf0b8bf6d/fpgai_bd_auto_ds_0.dcp;vivado_bridge/project/fpgai_vivado.cache/ip/2023.2/2/5/25f65dfa0efc8203/fpgai_bd_axi_dma_0_0.dcp,hls_validated
kv260_pipeline_aggressive_ii1,True,18,False,True,pipeline_pragmas;unroll_pragmas;array_partition_pragmas;dense_tiling,True,5041,3491,24,5,0,88,embedded,False,False,0,not_required,False,0,,hls_validated
kv260_pipeline_balanced_ii2,True,18,False,True,pipeline_pragmas;unroll_pragmas;array_partition_pragmas;dense_tiling,True,5056,3531,24,5,0,90,embedded,False,False,0,not_required,False,0,,hls_validated
kv260_precision_fx12_4,True,18,False,True,pipeline_pragmas;unroll_pragmas;array_partition_pragmas;dense_tiling,True,4876,3159,20,5,0,85,embedded,False,False,0,not_required,False,0,,hls_validated
kv260_precision_fx16_6,True,18,False,True,pipeline_pragmas;unroll_pragmas;array_partition_pragmas;dense_tiling,True,5056,3531,24,5,0,90,embedded,False,False,0,not_required,False,0,,hls_validated
kv260_precision_fx8_3,True,18,False,True,pipeline_pragmas;unroll_pragmas;array_partition_pragmas;dense_tiling,True,4119,1914,8,5,0,72,embedded,False,False,0,not_required,True,72,vivado_bridge/bitstream/fpgai_bd.xsa;vivado_bridge/bitstream/fpgai_bd_wrapper.bit;vivado_bridge/project/fpgai_vivado.cache/ip/2023.2/1/0/103c2b314d0507f9/fpgai_bd_xbar_1.dcp;vivado_bridge/project/fpgai_vivado.cache/ip/2023.2/1/1/11c6067bf0b8bf6d/fpgai_bd_auto_ds_0.dcp;vivado_bridge/project/fpgai_vivado.cache/ip/2023.2/2/5/25f65dfa0efc8203/fpgai_bd_axi_dma_0_0.dcp,hls_validated
kv260_tiling_large,True,18,False,True,pipeline_pragmas;unroll_pragmas;array_partition_pragmas;dense_tiling,True,4305,3706,24,5,0,81,embedded,False,False,0,not_required,False,0,,hls_validated
kv260_tiling_medium,True,18,False,True,pipeline_pragmas;unroll_pragmas;array_partition_pragmas;dense_tiling,True,4275,3633,22,5,0,86,embedded,False,False,0,not_required,False,0,,hls_validated
kv260_tiling_small,True,18,False,True,pipeline_pragmas;unroll_pragmas;array_partition_pragmas;dense_tiling,True,3899,3567,14,5,0,93,embedded,False,False,0,not_required,False,0,,hls_validated
pynq_z2_baseline_safe_fx16,True,18,False,True,pipeline_pragmas;unroll_pragmas;array_partition_pragmas;dense_tiling,True,6054,4562,10,7,0,188,embedded,False,False,0,not_required,False,0,,hls_validated
training_kv260_aggressive_fx8_3,True,18,False,True,pipeline_pragmas;unroll_pragmas;array_partition_pragmas;dense_tiling;conv_tiling,True,194087,77849,518,74,0,86082,embedded,False,False,0,not_required,False,0,,hls_validated
training_kv260_safe_fx16_6,True,18,False,True,pipeline_pragmas;unroll_pragmas;array_partition_pragmas;dense_tiling;conv_tiling,True,166965,135977,815,77,0,114686,embedded,False,False,0,not_required,True,59,vivado_bridge/project/fpgai_vivado.cache/ip/2023.2/1/1/11c6067bf0b8bf6d/fpgai_bd_auto_ds_0.dcp;vivado_bridge/project/fpgai_vivado.cache/ip/2023.2/2/5/25f65dfa0efc8203/fpgai_bd_axi_dma_0_0.dcp;vivado_bridge/project/fpgai_vivado.cache/ip/2023.2/3/0/30b57f2e01b9d241/fpgai_bd_auto_us_2.dcp;vivado_bridge/project/fpgai_vivado.cache/ip/2023.2/4/9/49b4c02f3e28b7f0/fpgai_bd_auto_pc_0.dcp;vivado_bridge/project/fpgai_vivado.cache/ip/2023.2/7/6/7639b279c5920288/fpgai_bd_zynq_ultra_ps_e_0_0.dcp,hls_validated
