design,board,mode,group,hls_available,hls_xml,hls_lut,hls_ff,hls_dsp,hls_bram18,hls_uram,hls_available_lut,hls_available_ff,hls_available_dsp,hls_available_bram18,hls_available_uram,hls_estimated_clock_period_ns,hls_latency_best_cycles,hls_latency_avg_cycles,hls_latency_worst_cycles,hls_interval_min,hls_interval_max
pynq_z2_baseline_safe_fx16,pynq_z2,inference,baseline,True,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/pynq_z2_baseline_safe_fx16/hls/fpgai_hls_proj/sol1/syn/report/deeplearn_csynth.xml,6054,4562,10,7.0,0.0,53200,106400,220,280.0,0.0,7.212,188.0,188.0,188.0,189.0,189.0
kv260_baseline_safe_fx16,kv260,inference,baseline,True,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kv260_baseline_safe_fx16/hls/fpgai_hls_proj/sol1/syn/report/deeplearn_csynth.xml,5991,4272,10,7.0,0.0,117120,234240,1248,288.0,64.0,6.614,182.0,182.0,182.0,183.0,183.0
kr260_baseline_safe_fx16,kr260,inference,baseline,True,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kr260_baseline_safe_fx16/hls/fpgai_hls_proj/sol1/syn/report/deeplearn_csynth.xml,5991,4272,10,7.0,0.0,117120,234240,1248,288.0,64.0,6.614,182.0,182.0,182.0,183.0,183.0
kv260_precision_fx16_6,kv260,inference,precision,True,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kv260_precision_fx16_6/hls/fpgai_hls_proj/sol1/syn/report/deeplearn_csynth.xml,5056,3531,24,5.0,0.0,117120,234240,1248,288.0,64.0,6.614,90.0,90.0,90.0,91.0,91.0
kv260_precision_fx12_4,kv260,inference,precision,True,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kv260_precision_fx12_4/hls/fpgai_hls_proj/sol1/syn/report/deeplearn_csynth.xml,4876,3159,20,5.0,0.0,117120,234240,1248,288.0,64.0,6.531,85.0,85.0,85.0,86.0,86.0
kv260_precision_fx8_3,kv260,inference,precision,True,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kv260_precision_fx8_3/hls/fpgai_hls_proj/sol1/syn/report/deeplearn_csynth.xml,4119,1914,8,5.0,0.0,117120,234240,1248,288.0,64.0,6.823,72.0,72.0,72.0,73.0,73.0
kv260_parallel_x1,kv260,inference,parallelism,True,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kv260_parallel_x1/hls/fpgai_hls_proj/sol1/syn/report/deeplearn_csynth.xml,4869,4378,6,5.0,0.0,117120,234240,1248,288.0,64.0,6.77,247.0,247.0,247.0,248.0,248.0
kv260_parallel_x2,kv260,inference,parallelism,True,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kv260_parallel_x2/hls/fpgai_hls_proj/sol1/syn/report/deeplearn_csynth.xml,5991,4272,10,7.0,0.0,117120,234240,1248,288.0,64.0,6.614,182.0,182.0,182.0,183.0,183.0
kv260_parallel_x4,kv260,inference,parallelism,True,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kv260_parallel_x4/hls/fpgai_hls_proj/sol1/syn/report/deeplearn_csynth.xml,5056,3531,24,5.0,0.0,117120,234240,1248,288.0,64.0,6.614,90.0,90.0,90.0,91.0,91.0
kv260_parallel_x8,kv260,inference,parallelism,True,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kv260_parallel_x8/hls/fpgai_hls_proj/sol1/syn/report/deeplearn_csynth.xml,3584,3334,35,1.0,0.0,117120,234240,1248,288.0,64.0,6.614,80.0,80.0,80.0,81.0,81.0
kv260_pipeline_balanced_ii2,kv260,inference,pipeline,True,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kv260_pipeline_balanced_ii2/hls/fpgai_hls_proj/sol1/syn/report/deeplearn_csynth.xml,5056,3531,24,5.0,0.0,117120,234240,1248,288.0,64.0,6.614,90.0,90.0,90.0,91.0,91.0
kv260_pipeline_aggressive_ii1,kv260,inference,pipeline,True,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kv260_pipeline_aggressive_ii1/hls/fpgai_hls_proj/sol1/syn/report/deeplearn_csynth.xml,5041,3491,24,5.0,0.0,117120,234240,1248,288.0,64.0,7.135,88.0,88.0,88.0,89.0,89.0
kv260_tiling_small,kv260,inference,tiling,True,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kv260_tiling_small/hls/fpgai_hls_proj/sol1/syn/report/deeplearn_csynth.xml,3899,3567,14,5.0,0.0,117120,234240,1248,288.0,64.0,6.614,93.0,93.0,93.0,94.0,94.0
kv260_tiling_medium,kv260,inference,tiling,True,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kv260_tiling_medium/hls/fpgai_hls_proj/sol1/syn/report/deeplearn_csynth.xml,4275,3633,22,5.0,0.0,117120,234240,1248,288.0,64.0,6.614,86.0,86.0,86.0,87.0,87.0
kv260_tiling_large,kv260,inference,tiling,True,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kv260_tiling_large/hls/fpgai_hls_proj/sol1/syn/report/deeplearn_csynth.xml,4305,3706,24,5.0,0.0,117120,234240,1248,288.0,64.0,7.135,81.0,81.0,81.0,82.0,82.0
kv260_memory_bram,kv260,inference,memory,True,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kv260_memory_bram/hls/fpgai_hls_proj/sol1/syn/report/deeplearn_csynth.xml,5056,3531,24,5.0,0.0,117120,234240,1248,288.0,64.0,6.614,90.0,90.0,90.0,91.0,91.0
kv260_memory_uram,kv260,inference,memory,True,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kv260_memory_uram/hls/fpgai_hls_proj/sol1/syn/report/deeplearn_csynth.xml,5056,3531,24,5.0,0.0,117120,234240,1248,288.0,64.0,6.614,90.0,90.0,90.0,91.0,91.0
kv260_combined_aggressive_fx8,kv260,inference,combined,True,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kv260_combined_aggressive_fx8/hls/fpgai_hls_proj/sol1/syn/report/deeplearn_csynth.xml,3472,1858,7,1.0,0.0,117120,234240,1248,288.0,64.0,6.823,59.0,59.0,59.0,60.0,60.0
training_kv260_safe_fx16_6,kv260,training_on_device,training,True,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/training_kv260_safe_fx16_6/hls/fpgai_hls_proj/sol1/syn/report/deeplearn_csynth.xml,166965,135977,815,77.0,0.0,117120,234240,1248,288.0,64.0,4.046,6764.0,34138.0,114686.0,6765.0,114687.0
training_kv260_aggressive_fx8_3,kv260,training_on_device,training,True,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/training_kv260_aggressive_fx8_3/hls/fpgai_hls_proj/sol1/syn/report/deeplearn_csynth.xml,194087,77849,518,74.0,0.0,117120,234240,1248,288.0,64.0,4.064,6764.0,28807.0,86082.0,6765.0,86083.0
