design,board,mode,group,run_dir,manifest_exists,prediction_available,model_profile_exists,resource_prediction_exists,timing_prediction_exists,prediction_summary_exists,hls_available,hls_top_csynth_xml,hls_top_csynth_rpt,hls_status,vivado_bridge_available,vivado_manifest_exists,vivado_run_artifacts_exists,vivado_ok,vivado_returncode,vivado_failure_class,vivado_error,vivado_reports_present,bitstream_exists,xsa_exists,paper_status,prediction_model,prediction_lut,prediction_ff,prediction_dsp,prediction_bram18,prediction_uram,prediction_cycles,prediction_latency_ms,prediction_throughput_fps,prediction_clock_mhz,hls_xml,hls_lut,hls_ff,hls_dsp,hls_bram18,hls_uram,hls_available_lut,hls_available_ff,hls_available_dsp,hls_available_bram18,hls_available_uram,hls_estimated_clock_period_ns,hls_latency_best_cycles,hls_latency_avg_cycles,hls_latency_worst_cycles,hls_interval_min,hls_interval_max,vivado_lut,vivado_lut_logic,vivado_lut_available,vivado_lut_util_pct,vivado_ff,vivado_ff_available,vivado_ff_util_pct,vivado_dsp,vivado_dsp_available,vivado_dsp_util_pct,vivado_bram18,vivado_bram18_available,vivado_bram18_util_pct,vivado_uram,vivado_uram_available,vivado_uram_util_pct,vivado_wns_ns,vivado_tns_ns,vivado_whs_ns,vivado_ths_ns,vivado_total_on_chip_power_w,vivado_dynamic_power_w,vivado_static_power_w,failure_lut_logic_required,failure_lut_logic_available,failure_lut_logic_util_pct,failure_slice_lut_required,failure_slice_lut_available,failure_slice_lut_util_pct
pynq_z2_baseline_safe_fx16,pynq_z2,inference,baseline,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/pynq_z2_baseline_safe_fx16,True,True,True,True,True,True,True,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/pynq_z2_baseline_safe_fx16/hls/fpgai_hls_proj/sol1/syn/report/deeplearn_csynth.xml,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/pynq_z2_baseline_safe_fx16/hls/fpgai_hls_proj/sol1/syn/report/deeplearn_csynth.rpt,full_csynth,False,False,False,,,,,False,False,False,hls_only,operator_structural_v4_inference_hls_sharing_training_problem_shared,3822,4554,10,7.0,,116.0,0.00116,862068.9655172414,100.0,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/pynq_z2_baseline_safe_fx16/hls/fpgai_hls_proj/sol1/syn/report/deeplearn_csynth.xml,6054,4562,10,7.0,0.0,53200,106400,220,280.0,0.0,7.212,188.0,188.0,188.0,189.0,189.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kv260_baseline_safe_fx16,kv260,inference,baseline,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kv260_baseline_safe_fx16,True,True,True,True,True,True,True,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kv260_baseline_safe_fx16/hls/fpgai_hls_proj/sol1/syn/report/deeplearn_csynth.xml,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kv260_baseline_safe_fx16/hls/fpgai_hls_proj/sol1/syn/report/deeplearn_csynth.rpt,full_csynth,True,True,True,True,,,,True,True,True,vivado_impl_bitstream_ready,operator_structural_v4_inference_hls_sharing_training_problem_shared,3822,4554,10,7.0,,116.0,0.00116,862068.9655172414,100.0,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kv260_baseline_safe_fx16/hls/fpgai_hls_proj/sol1/syn/report/deeplearn_csynth.xml,5991,4272,10,7.0,0.0,117120,234240,1248,288.0,64.0,6.614,182.0,182.0,182.0,183.0,183.0,6565.0,6282.0,117120.0,5.61,7551.0,234240.0,3.22,7.0,1248.0,0.56,7.0,288.0,2.43,0.0,64.0,0.0,2.462,0.0,0.01,0.0,2.768,2.468,0.301,,,,,,
kr260_baseline_safe_fx16,kr260,inference,baseline,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kr260_baseline_safe_fx16,True,True,True,True,True,True,True,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kr260_baseline_safe_fx16/hls/fpgai_hls_proj/sol1/syn/report/deeplearn_csynth.xml,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kr260_baseline_safe_fx16/hls/fpgai_hls_proj/sol1/syn/report/deeplearn_csynth.rpt,full_csynth,False,False,False,,,,,False,False,False,hls_only,operator_structural_v4_inference_hls_sharing_training_problem_shared,3822,4554,10,7.0,,116.0,0.00116,862068.9655172414,100.0,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kr260_baseline_safe_fx16/hls/fpgai_hls_proj/sol1/syn/report/deeplearn_csynth.xml,5991,4272,10,7.0,0.0,117120,234240,1248,288.0,64.0,6.614,182.0,182.0,182.0,183.0,183.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kv260_precision_fx16_6,kv260,inference,precision,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kv260_precision_fx16_6,True,True,True,True,True,True,True,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kv260_precision_fx16_6/hls/fpgai_hls_proj/sol1/syn/report/deeplearn_csynth.xml,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kv260_precision_fx16_6/hls/fpgai_hls_proj/sol1/syn/report/deeplearn_csynth.rpt,full_csynth,False,False,False,,,,,False,False,False,hls_only,operator_structural_v4_inference_hls_sharing_training_problem_shared,4400,5730,30,5.0,,102.0,0.00102,980392.1568627451,100.0,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kv260_precision_fx16_6/hls/fpgai_hls_proj/sol1/syn/report/deeplearn_csynth.xml,5056,3531,24,5.0,0.0,117120,234240,1248,288.0,64.0,6.614,90.0,90.0,90.0,91.0,91.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kv260_precision_fx12_4,kv260,inference,precision,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kv260_precision_fx12_4,True,True,True,True,True,True,True,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kv260_precision_fx12_4/hls/fpgai_hls_proj/sol1/syn/report/deeplearn_csynth.xml,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kv260_precision_fx12_4/hls/fpgai_hls_proj/sol1/syn/report/deeplearn_csynth.rpt,full_csynth,False,False,False,,,,,False,False,False,hls_only,operator_structural_v4_inference_hls_sharing_training_problem_shared,4114,5394,24,5.0,,102.0,0.00102,980392.1568627451,100.0,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kv260_precision_fx12_4/hls/fpgai_hls_proj/sol1/syn/report/deeplearn_csynth.xml,4876,3159,20,5.0,0.0,117120,234240,1248,288.0,64.0,6.531,85.0,85.0,85.0,86.0,86.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kv260_precision_fx8_3,kv260,inference,precision,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kv260_precision_fx8_3,True,True,True,True,True,True,True,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kv260_precision_fx8_3/hls/fpgai_hls_proj/sol1/syn/report/deeplearn_csynth.xml,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kv260_precision_fx8_3/hls/fpgai_hls_proj/sol1/syn/report/deeplearn_csynth.rpt,full_csynth,True,True,True,True,,,,True,True,True,vivado_impl_bitstream_ready,operator_structural_v4_inference_hls_sharing_training_problem_shared,3842,4966,8,5.0,,102.0,0.00102,980392.1568627451,100.0,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kv260_precision_fx8_3/hls/fpgai_hls_proj/sol1/syn/report/deeplearn_csynth.xml,4119,1914,8,5.0,0.0,117120,234240,1248,288.0,64.0,6.823,72.0,72.0,72.0,73.0,73.0,4691.0,4425.0,117120.0,4.01,5439.0,234240.0,2.32,8.0,1248.0,0.64,5.0,288.0,1.74,0.0,64.0,0.0,3.991,0.0,0.011,0.0,2.749,2.448,0.301,,,,,,
kv260_parallel_x1,kv260,inference,parallelism,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kv260_parallel_x1,True,True,True,True,True,True,True,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kv260_parallel_x1/hls/fpgai_hls_proj/sol1/syn/report/deeplearn_csynth.xml,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kv260_parallel_x1/hls/fpgai_hls_proj/sol1/syn/report/deeplearn_csynth.rpt,full_csynth,False,False,False,,,,,False,False,False,hls_only,operator_structural_v4_inference_hls_sharing_training_problem_shared,2802,3340,6,5.0,,184.0,0.00184,543478.2608695652,100.0,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kv260_parallel_x1/hls/fpgai_hls_proj/sol1/syn/report/deeplearn_csynth.xml,4869,4378,6,5.0,0.0,117120,234240,1248,288.0,64.0,6.77,247.0,247.0,247.0,248.0,248.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kv260_parallel_x2,kv260,inference,parallelism,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kv260_parallel_x2,True,True,True,True,True,True,True,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kv260_parallel_x2/hls/fpgai_hls_proj/sol1/syn/report/deeplearn_csynth.xml,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kv260_parallel_x2/hls/fpgai_hls_proj/sol1/syn/report/deeplearn_csynth.rpt,full_csynth,False,False,False,,,,,False,False,False,hls_only,operator_structural_v4_inference_hls_sharing_training_problem_shared,3822,4554,10,7.0,,116.0,0.00116,862068.9655172414,100.0,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kv260_parallel_x2/hls/fpgai_hls_proj/sol1/syn/report/deeplearn_csynth.xml,5991,4272,10,7.0,0.0,117120,234240,1248,288.0,64.0,6.614,182.0,182.0,182.0,183.0,183.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kv260_parallel_x4,kv260,inference,parallelism,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kv260_parallel_x4,True,True,True,True,True,True,True,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kv260_parallel_x4/hls/fpgai_hls_proj/sol1/syn/report/deeplearn_csynth.xml,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kv260_parallel_x4/hls/fpgai_hls_proj/sol1/syn/report/deeplearn_csynth.rpt,full_csynth,False,False,False,,,,,False,False,False,hls_only,operator_structural_v4_inference_hls_sharing_training_problem_shared,4400,5730,30,5.0,,102.0,0.00102,980392.1568627451,100.0,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kv260_parallel_x4/hls/fpgai_hls_proj/sol1/syn/report/deeplearn_csynth.xml,5056,3531,24,5.0,0.0,117120,234240,1248,288.0,64.0,6.614,90.0,90.0,90.0,91.0,91.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kv260_parallel_x8,kv260,inference,parallelism,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kv260_parallel_x8,True,True,True,True,True,True,True,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kv260_parallel_x8/hls/fpgai_hls_proj/sol1/syn/report/deeplearn_csynth.xml,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kv260_parallel_x8/hls/fpgai_hls_proj/sol1/syn/report/deeplearn_csynth.rpt,full_csynth,True,True,True,True,,,,True,True,True,vivado_impl_bitstream_ready,operator_structural_v4_inference_hls_sharing_training_problem_shared,7640,10090,73,1.0,,101.0,0.00101,990099.0099009901,100.0,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kv260_parallel_x8/hls/fpgai_hls_proj/sol1/syn/report/deeplearn_csynth.xml,3584,3334,35,1.0,0.0,117120,234240,1248,288.0,64.0,6.614,80.0,80.0,80.0,81.0,81.0,5523.0,5240.0,117120.0,4.72,6525.0,234240.0,2.79,34.0,1248.0,2.72,1.0,288.0,0.35,0.0,64.0,0.0,2.901,0.0,0.011,0.0,2.775,2.474,0.301,,,,,,
kv260_pipeline_balanced_ii2,kv260,inference,pipeline,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kv260_pipeline_balanced_ii2,True,True,True,True,True,True,True,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kv260_pipeline_balanced_ii2/hls/fpgai_hls_proj/sol1/syn/report/deeplearn_csynth.xml,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kv260_pipeline_balanced_ii2/hls/fpgai_hls_proj/sol1/syn/report/deeplearn_csynth.rpt,full_csynth,False,False,False,,,,,False,False,False,hls_only,operator_structural_v4_inference_hls_sharing_training_problem_shared,4400,5730,30,5.0,,102.0,0.00102,980392.1568627451,100.0,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kv260_pipeline_balanced_ii2/hls/fpgai_hls_proj/sol1/syn/report/deeplearn_csynth.xml,5056,3531,24,5.0,0.0,117120,234240,1248,288.0,64.0,6.614,90.0,90.0,90.0,91.0,91.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kv260_pipeline_aggressive_ii1,kv260,inference,pipeline,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kv260_pipeline_aggressive_ii1,True,True,True,True,True,True,True,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kv260_pipeline_aggressive_ii1/hls/fpgai_hls_proj/sol1/syn/report/deeplearn_csynth.xml,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kv260_pipeline_aggressive_ii1/hls/fpgai_hls_proj/sol1/syn/report/deeplearn_csynth.rpt,full_csynth,False,False,False,,,,,False,False,False,hls_only,operator_structural_v4_inference_hls_sharing_training_problem_shared,4400,5730,30,5.0,,92.0,0.00092,1086956.5217391304,100.0,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kv260_pipeline_aggressive_ii1/hls/fpgai_hls_proj/sol1/syn/report/deeplearn_csynth.xml,5041,3491,24,5.0,0.0,117120,234240,1248,288.0,64.0,7.135,88.0,88.0,88.0,89.0,89.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kv260_tiling_small,kv260,inference,tiling,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kv260_tiling_small,True,True,True,True,True,True,True,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kv260_tiling_small/hls/fpgai_hls_proj/sol1/syn/report/deeplearn_csynth.xml,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kv260_tiling_small/hls/fpgai_hls_proj/sol1/syn/report/deeplearn_csynth.rpt,full_csynth,False,False,False,,,,,False,False,False,hls_only,operator_structural_v4_inference_hls_sharing_training_problem_shared,4400,5730,30,5.0,,102.0,0.00102,980392.1568627451,100.0,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kv260_tiling_small/hls/fpgai_hls_proj/sol1/syn/report/deeplearn_csynth.xml,3899,3567,14,5.0,0.0,117120,234240,1248,288.0,64.0,6.614,93.0,93.0,93.0,94.0,94.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kv260_tiling_medium,kv260,inference,tiling,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kv260_tiling_medium,True,True,True,True,True,True,True,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kv260_tiling_medium/hls/fpgai_hls_proj/sol1/syn/report/deeplearn_csynth.xml,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kv260_tiling_medium/hls/fpgai_hls_proj/sol1/syn/report/deeplearn_csynth.rpt,full_csynth,False,False,False,,,,,False,False,False,hls_only,operator_structural_v4_inference_hls_sharing_training_problem_shared,4400,5730,30,5.0,,102.0,0.00102,980392.1568627451,100.0,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kv260_tiling_medium/hls/fpgai_hls_proj/sol1/syn/report/deeplearn_csynth.xml,4275,3633,22,5.0,0.0,117120,234240,1248,288.0,64.0,6.614,86.0,86.0,86.0,87.0,87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kv260_tiling_large,kv260,inference,tiling,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kv260_tiling_large,True,True,True,True,True,True,True,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kv260_tiling_large/hls/fpgai_hls_proj/sol1/syn/report/deeplearn_csynth.xml,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kv260_tiling_large/hls/fpgai_hls_proj/sol1/syn/report/deeplearn_csynth.rpt,full_csynth,False,False,False,,,,,False,False,False,hls_only,operator_structural_v4_inference_hls_sharing_training_problem_shared,4400,5730,30,5.0,,102.0,0.00102,980392.1568627451,100.0,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kv260_tiling_large/hls/fpgai_hls_proj/sol1/syn/report/deeplearn_csynth.xml,4305,3706,24,5.0,0.0,117120,234240,1248,288.0,64.0,7.135,81.0,81.0,81.0,82.0,82.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kv260_memory_bram,kv260,inference,memory,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kv260_memory_bram,True,True,True,True,True,True,True,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kv260_memory_bram/hls/fpgai_hls_proj/sol1/syn/report/deeplearn_csynth.xml,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kv260_memory_bram/hls/fpgai_hls_proj/sol1/syn/report/deeplearn_csynth.rpt,full_csynth,False,False,False,,,,,False,False,False,hls_only,operator_structural_v4_inference_hls_sharing_training_problem_shared,4400,5730,30,5.0,,102.0,0.00102,980392.1568627451,100.0,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kv260_memory_bram/hls/fpgai_hls_proj/sol1/syn/report/deeplearn_csynth.xml,5056,3531,24,5.0,0.0,117120,234240,1248,288.0,64.0,6.614,90.0,90.0,90.0,91.0,91.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kv260_memory_uram,kv260,inference,memory,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kv260_memory_uram,True,True,True,True,True,True,True,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kv260_memory_uram/hls/fpgai_hls_proj/sol1/syn/report/deeplearn_csynth.xml,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kv260_memory_uram/hls/fpgai_hls_proj/sol1/syn/report/deeplearn_csynth.rpt,full_csynth,True,True,True,True,,,,True,True,True,vivado_impl_bitstream_ready,operator_structural_v4_inference_hls_sharing_training_problem_shared,4400,5730,30,5.0,,102.0,0.00102,980392.1568627451,100.0,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kv260_memory_uram/hls/fpgai_hls_proj/sol1/syn/report/deeplearn_csynth.xml,5056,3531,24,5.0,0.0,117120,234240,1248,288.0,64.0,6.614,90.0,90.0,90.0,91.0,91.0,5870.0,5587.0,117120.0,5.01,6748.0,234240.0,2.88,23.0,1248.0,1.84,5.0,288.0,1.74,0.0,64.0,0.0,2.243,0.0,0.01,0.0,2.774,2.474,0.301,,,,,,
kv260_combined_aggressive_fx8,kv260,inference,combined,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kv260_combined_aggressive_fx8,True,True,True,True,True,True,True,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kv260_combined_aggressive_fx8/hls/fpgai_hls_proj/sol1/syn/report/deeplearn_csynth.xml,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kv260_combined_aggressive_fx8/hls/fpgai_hls_proj/sol1/syn/report/deeplearn_csynth.rpt,full_csynth,False,False,False,,,,,False,False,False,hls_only,operator_structural_v4_inference_hls_sharing_training_problem_shared,6277,8269,21,1.0,,99.0,0.00099,1010101.0101010101,100.0,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/kv260_combined_aggressive_fx8/hls/fpgai_hls_proj/sol1/syn/report/deeplearn_csynth.xml,3472,1858,7,1.0,0.0,117120,234240,1248,288.0,64.0,6.823,59.0,59.0,59.0,60.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
training_kv260_safe_fx16_6,kv260,training_on_device,training,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/training_kv260_safe_fx16_6,True,True,True,True,True,True,True,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/training_kv260_safe_fx16_6/hls/fpgai_hls_proj/sol1/syn/report/deeplearn_csynth.xml,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/training_kv260_safe_fx16_6/hls/fpgai_hls_proj/sol1/syn/report/deeplearn_csynth.rpt,full_csynth,True,True,True,False,1,vivado_impl_failed_board_capacity_lut_overutilized,vivado_impl_failed_board_capacity_lut_overutilized,True,False,False,vivado_board_capacity_rejected,operator_structural_v4_inference_hls_sharing_training_problem_shared,84343,107039,774,63.0,,11768.0,0.11768,8497.62066621346,100.0,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/training_kv260_safe_fx16_6/hls/fpgai_hls_proj/sol1/syn/report/deeplearn_csynth.xml,166965,135977,815,77.0,0.0,117120,234240,1248,288.0,64.0,4.046,6764.0,34138.0,114686.0,6765.0,114687.0,,,,,,,,,,,,,,,,,,,,,,,,131882,117120,112.6,133729,117120,114.18
training_kv260_aggressive_fx8_3,kv260,training_on_device,training,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/training_kv260_aggressive_fx8_3,True,True,True,True,True,True,True,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/training_kv260_aggressive_fx8_3/hls/fpgai_hls_proj/sol1/syn/report/deeplearn_csynth.xml,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/training_kv260_aggressive_fx8_3/hls/fpgai_hls_proj/sol1/syn/report/deeplearn_csynth.rpt,full_csynth,False,False,False,,,,,False,False,False,hls_only,operator_structural_v4_inference_hls_sharing_training_problem_shared,105154,138636,924,68.0,,2865.0,0.02865,34904.01396160559,100.0,paper_experiments/full_pipeline_gate/sprint26_paper_matrix/runs/training_kv260_aggressive_fx8_3/hls/fpgai_hls_proj/sol1/syn/report/deeplearn_csynth.xml,194087,77849,518,74.0,0.0,117120,234240,1248,288.0,64.0,4.064,6764.0,28807.0,86082.0,6765.0,86083.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
