run,knob,contract_status,contract_effective,expected_cpp_effect,cpp_effect_found,hls_lut,hls_ff,hls_dsp,hls_bram18,hls_uram,hls_latency,logical_status,notes
kr260_baseline_safe_fx16,optimization.pipeline.ii,applied,2,PIPELINE pragma generated when pipeline is active,yes,5991,4272,10,7,0,182,applied,pipeline pragma count=10
kr260_baseline_safe_fx16,optimization.parallel.unroll_factor,applied,2,UNROLL pragma generated for unrolled loops,yes,5991,4272,10,7,0,182,applied,unroll pragma count=16
kr260_baseline_safe_fx16,optimization.parallel.partition_factor,applied,2,ARRAY_PARTITION pragma generated for partitioned arrays,yes,5991,4272,10,7,0,182,applied,array partition count=14
kr260_baseline_safe_fx16,optimization.tiling.dense,changed_or_clamped,"{'in': 8, 'out': 4}",dense tiled helper/marker generated,yes,5991,4272,10,7,0,182,applied,Dense tiling marker should appear for current MLP-style rows.
kr260_baseline_safe_fx16,optimization.tiling.conv,not_applicable,None,conv tiled helper/marker generated when Conv exists,no,5991,4272,10,7,0,182,applied_or_not_applicable,Conv tiling is only expected for Conv/training rows.
kr260_baseline_safe_fx16,memory.storage.weights,,'',BRAM embedded vs DDR weights_mem m_axi vs URAM bind/load path,mode=not_reported; weights_mem=no; impl_uram=no,5991,4272,10,7,0,182,not_required,Runtime package did not report external weight mode for this row.
kr260_baseline_safe_fx16,data_movement input/output/weights,,'',AXIS/AXI interface pragmas and normalized contract rows when requested,axis=yes; s_axilite=yes; weights_m_axi=no,5991,4272,10,7,0,182,applied,"For normalized DDR schema, contract should include data_movement.input.load/output.store/weights.load.interface."
kr260_baseline_safe_fx16,numerics precision,,'',fixed-point/ap_fixed typedefs and params reflect precision configuration,ap_fixed=no; params_present=yes,5991,4272,10,7,0,182,applied,Precision effect should be verified further by comparing typedef widths between precision rows.
kr260_baseline_safe_fx16,targets.platform.board,applied,'kr260',"board affects reports/part/clock, not necessarily deeplearn.cpp logic",report_level,5991,4272,10,7,0,182,report_only_or_backend,Board is mainly report/backend target metadata; same C++ can be logical across boards.
kv260_baseline_safe_fx16,optimization.pipeline.ii,applied,2,PIPELINE pragma generated when pipeline is active,yes,5991,4272,10,7,0,182,applied,pipeline pragma count=10
kv260_baseline_safe_fx16,optimization.parallel.unroll_factor,applied,2,UNROLL pragma generated for unrolled loops,yes,5991,4272,10,7,0,182,applied,unroll pragma count=16
kv260_baseline_safe_fx16,optimization.parallel.partition_factor,applied,2,ARRAY_PARTITION pragma generated for partitioned arrays,yes,5991,4272,10,7,0,182,applied,array partition count=14
kv260_baseline_safe_fx16,optimization.tiling.dense,changed_or_clamped,"{'in': 8, 'out': 4}",dense tiled helper/marker generated,yes,5991,4272,10,7,0,182,applied,Dense tiling marker should appear for current MLP-style rows.
kv260_baseline_safe_fx16,optimization.tiling.conv,not_applicable,None,conv tiled helper/marker generated when Conv exists,no,5991,4272,10,7,0,182,applied_or_not_applicable,Conv tiling is only expected for Conv/training rows.
kv260_baseline_safe_fx16,memory.storage.weights,,'',BRAM embedded vs DDR weights_mem m_axi vs URAM bind/load path,mode=not_reported; weights_mem=no; impl_uram=no,5991,4272,10,7,0,182,not_required,Runtime package did not report external weight mode for this row.
kv260_baseline_safe_fx16,data_movement input/output/weights,,'',AXIS/AXI interface pragmas and normalized contract rows when requested,axis=yes; s_axilite=yes; weights_m_axi=no,5991,4272,10,7,0,182,applied,"For normalized DDR schema, contract should include data_movement.input.load/output.store/weights.load.interface."
kv260_baseline_safe_fx16,numerics precision,,'',fixed-point/ap_fixed typedefs and params reflect precision configuration,ap_fixed=no; params_present=yes,5991,4272,10,7,0,182,applied,Precision effect should be verified further by comparing typedef widths between precision rows.
kv260_baseline_safe_fx16,targets.platform.board,applied,'kv260',"board affects reports/part/clock, not necessarily deeplearn.cpp logic",report_level,5991,4272,10,7,0,182,report_only_or_backend,Board is mainly report/backend target metadata; same C++ can be logical across boards.
kv260_combined_aggressive_fx8,optimization.pipeline.ii,applied,1,PIPELINE pragma generated when pipeline is active,yes,3472,1858,7,1,0,59,applied,pipeline pragma count=10
kv260_combined_aggressive_fx8,optimization.parallel.unroll_factor,applied,8,UNROLL pragma generated for unrolled loops,yes,3472,1858,7,1,0,59,applied,unroll pragma count=16
kv260_combined_aggressive_fx8,optimization.parallel.partition_factor,applied,8,ARRAY_PARTITION pragma generated for partitioned arrays,yes,3472,1858,7,1,0,59,applied,array partition count=14
kv260_combined_aggressive_fx8,optimization.tiling.dense,changed_or_clamped,"{'in': 8, 'out': 4}",dense tiled helper/marker generated,yes,3472,1858,7,1,0,59,applied,Dense tiling marker should appear for current MLP-style rows.
kv260_combined_aggressive_fx8,optimization.tiling.conv,not_applicable,None,conv tiled helper/marker generated when Conv exists,no,3472,1858,7,1,0,59,applied_or_not_applicable,Conv tiling is only expected for Conv/training rows.
kv260_combined_aggressive_fx8,memory.storage.weights,,'',BRAM embedded vs DDR weights_mem m_axi vs URAM bind/load path,mode=not_reported; weights_mem=no; impl_uram=no,3472,1858,7,1,0,59,not_required,Runtime package did not report external weight mode for this row.
kv260_combined_aggressive_fx8,data_movement input/output/weights,,'',AXIS/AXI interface pragmas and normalized contract rows when requested,axis=yes; s_axilite=yes; weights_m_axi=no,3472,1858,7,1,0,59,applied,"For normalized DDR schema, contract should include data_movement.input.load/output.store/weights.load.interface."
kv260_combined_aggressive_fx8,numerics precision,,'',fixed-point/ap_fixed typedefs and params reflect precision configuration,ap_fixed=no; params_present=yes,3472,1858,7,1,0,59,applied,Precision effect should be verified further by comparing typedef widths between precision rows.
kv260_combined_aggressive_fx8,targets.platform.board,applied,'kv260',"board affects reports/part/clock, not necessarily deeplearn.cpp logic",report_level,3472,1858,7,1,0,59,report_only_or_backend,Board is mainly report/backend target metadata; same C++ can be logical across boards.
kv260_memory_bram,optimization.pipeline.ii,applied,2,PIPELINE pragma generated when pipeline is active,yes,5056,3531,24,5,0,90,applied,pipeline pragma count=10
kv260_memory_bram,optimization.parallel.unroll_factor,applied,4,UNROLL pragma generated for unrolled loops,yes,5056,3531,24,5,0,90,applied,unroll pragma count=16
kv260_memory_bram,optimization.parallel.partition_factor,applied,4,ARRAY_PARTITION pragma generated for partitioned arrays,yes,5056,3531,24,5,0,90,applied,array partition count=14
kv260_memory_bram,optimization.tiling.dense,changed_or_clamped,"{'in': 8, 'out': 4}",dense tiled helper/marker generated,yes,5056,3531,24,5,0,90,applied,Dense tiling marker should appear for current MLP-style rows.
kv260_memory_bram,optimization.tiling.conv,not_applicable,None,conv tiled helper/marker generated when Conv exists,no,5056,3531,24,5,0,90,applied_or_not_applicable,Conv tiling is only expected for Conv/training rows.
kv260_memory_bram,memory.storage.weights,,'',BRAM embedded vs DDR weights_mem m_axi vs URAM bind/load path,mode=embedded; weights_mem=no; impl_uram=no,5056,3531,24,5,0,90,applied,Embedded/BRAM path should not expose external weights_mem and should not use URAM.
kv260_memory_bram,data_movement input/output/weights,,'',AXIS/AXI interface pragmas and normalized contract rows when requested,axis=yes; s_axilite=yes; weights_m_axi=no,5056,3531,24,5,0,90,applied,"For normalized DDR schema, contract should include data_movement.input.load/output.store/weights.load.interface."
kv260_memory_bram,numerics precision,,'',fixed-point/ap_fixed typedefs and params reflect precision configuration,ap_fixed=no; params_present=yes,5056,3531,24,5,0,90,applied,Precision effect should be verified further by comparing typedef widths between precision rows.
kv260_memory_bram,targets.platform.board,applied,'kv260',"board affects reports/part/clock, not necessarily deeplearn.cpp logic",report_level,5056,3531,24,5,0,90,report_only_or_backend,Board is mainly report/backend target metadata; same C++ can be logical across boards.
kv260_memory_ddr,optimization.pipeline.ii,applied,2,PIPELINE pragma generated when pipeline is active,yes,11750,6932,34,9,0,190,applied,pipeline pragma count=12
kv260_memory_ddr,optimization.parallel.unroll_factor,applied,4,UNROLL pragma generated for unrolled loops,yes,11750,6932,34,9,0,190,applied,unroll pragma count=16
kv260_memory_ddr,optimization.parallel.partition_factor,applied,4,ARRAY_PARTITION pragma generated for partitioned arrays,yes,11750,6932,34,9,0,190,applied,array partition count=14
kv260_memory_ddr,optimization.tiling.dense,changed_or_clamped,"{'in': 8, 'out': 4}",dense tiled helper/marker generated,yes,11750,6932,34,9,0,190,applied,Dense tiling marker should appear for current MLP-style rows.
kv260_memory_ddr,optimization.tiling.conv,not_applicable,None,conv tiled helper/marker generated when Conv exists,no,11750,6932,34,9,0,190,applied_or_not_applicable,Conv tiling is only expected for Conv/training rows.
kv260_memory_ddr,memory.storage.weights,,'',BRAM embedded vs DDR weights_mem m_axi vs URAM bind/load path,mode=ddr; weights_mem=yes; impl_uram=no,11750,6932,34,9,0,190,applied,"DDR requires runtime DDR load marker, weights_mem m_axi, and no URAM allocation."
kv260_memory_ddr,data_movement input/output/weights,,'',AXIS/AXI interface pragmas and normalized contract rows when requested,axis=yes; s_axilite=yes; weights_m_axi=yes,11750,6932,34,9,0,190,applied,"For normalized DDR schema, contract should include data_movement.input.load/output.store/weights.load.interface."
kv260_memory_ddr,numerics precision,,'',fixed-point/ap_fixed typedefs and params reflect precision configuration,ap_fixed=no; params_present=yes,11750,6932,34,9,0,190,applied,Precision effect should be verified further by comparing typedef widths between precision rows.
kv260_memory_ddr,targets.platform.board,applied,'kv260',"board affects reports/part/clock, not necessarily deeplearn.cpp logic",report_level,11750,6932,34,9,0,190,report_only_or_backend,Board is mainly report/backend target metadata; same C++ can be logical across boards.
kv260_memory_ddr_new_schema,optimization.pipeline.ii,applied,2,PIPELINE pragma generated when pipeline is active,yes,11750,6932,34,9,0,190,applied,pipeline pragma count=12
kv260_memory_ddr_new_schema,optimization.parallel.unroll_factor,applied,4,UNROLL pragma generated for unrolled loops,yes,11750,6932,34,9,0,190,applied,unroll pragma count=16
kv260_memory_ddr_new_schema,optimization.parallel.partition_factor,applied,4,ARRAY_PARTITION pragma generated for partitioned arrays,yes,11750,6932,34,9,0,190,applied,array partition count=14
kv260_memory_ddr_new_schema,optimization.tiling.dense,changed_or_clamped,"{'in': 8, 'out': 4}",dense tiled helper/marker generated,yes,11750,6932,34,9,0,190,applied,Dense tiling marker should appear for current MLP-style rows.
kv260_memory_ddr_new_schema,optimization.tiling.conv,not_applicable,None,conv tiled helper/marker generated when Conv exists,no,11750,6932,34,9,0,190,applied_or_not_applicable,Conv tiling is only expected for Conv/training rows.
kv260_memory_ddr_new_schema,memory.storage.weights,,'',BRAM embedded vs DDR weights_mem m_axi vs URAM bind/load path,mode=ddr; weights_mem=yes; impl_uram=no,11750,6932,34,9,0,190,applied,"DDR requires runtime DDR load marker, weights_mem m_axi, and no URAM allocation."
kv260_memory_ddr_new_schema,data_movement input/output/weights,,'',AXIS/AXI interface pragmas and normalized contract rows when requested,axis=yes; s_axilite=yes; weights_m_axi=yes,11750,6932,34,9,0,190,applied,"For normalized DDR schema, contract should include data_movement.input.load/output.store/weights.load.interface."
kv260_memory_ddr_new_schema,numerics precision,,'',fixed-point/ap_fixed typedefs and params reflect precision configuration,ap_fixed=no; params_present=yes,11750,6932,34,9,0,190,applied,Precision effect should be verified further by comparing typedef widths between precision rows.
kv260_memory_ddr_new_schema,targets.platform.board,applied,'kv260',"board affects reports/part/clock, not necessarily deeplearn.cpp logic",report_level,11750,6932,34,9,0,190,report_only_or_backend,Board is mainly report/backend target metadata; same C++ can be logical across boards.
kv260_memory_uram,optimization.pipeline.ii,applied,2,PIPELINE pragma generated when pipeline is active,yes,12653,6905,34,9,18,197,applied,pipeline pragma count=12
kv260_memory_uram,optimization.parallel.unroll_factor,applied,4,UNROLL pragma generated for unrolled loops,yes,12653,6905,34,9,18,197,applied,unroll pragma count=16
kv260_memory_uram,optimization.parallel.partition_factor,applied,4,ARRAY_PARTITION pragma generated for partitioned arrays,yes,12653,6905,34,9,18,197,applied,array partition count=14
kv260_memory_uram,optimization.tiling.dense,changed_or_clamped,"{'in': 8, 'out': 4}",dense tiled helper/marker generated,yes,12653,6905,34,9,18,197,applied,Dense tiling marker should appear for current MLP-style rows.
kv260_memory_uram,optimization.tiling.conv,not_applicable,None,conv tiled helper/marker generated when Conv exists,no,12653,6905,34,9,18,197,applied_or_not_applicable,Conv tiling is only expected for Conv/training rows.
kv260_memory_uram,memory.storage.weights,,'',BRAM embedded vs DDR weights_mem m_axi vs URAM bind/load path,mode=uram; weights_mem=yes; impl_uram=yes,12653,6905,34,9,18,197,applied,"URAM requires runtime-load marker, impl=uram, weights_mem, and HLS URAM > 0."
kv260_memory_uram,data_movement input/output/weights,,'',AXIS/AXI interface pragmas and normalized contract rows when requested,axis=yes; s_axilite=yes; weights_m_axi=yes,12653,6905,34,9,18,197,applied,"For normalized DDR schema, contract should include data_movement.input.load/output.store/weights.load.interface."
kv260_memory_uram,numerics precision,,'',fixed-point/ap_fixed typedefs and params reflect precision configuration,ap_fixed=no; params_present=yes,12653,6905,34,9,18,197,applied,Precision effect should be verified further by comparing typedef widths between precision rows.
kv260_memory_uram,targets.platform.board,applied,'kv260',"board affects reports/part/clock, not necessarily deeplearn.cpp logic",report_level,12653,6905,34,9,18,197,report_only_or_backend,Board is mainly report/backend target metadata; same C++ can be logical across boards.
kv260_parallel_x1,optimization.pipeline.ii,applied,2,PIPELINE pragma generated when pipeline is active,yes,4869,4378,6,5,0,247,applied,pipeline pragma count=10
kv260_parallel_x1,optimization.parallel.unroll_factor,applied,1,UNROLL pragma generated for unrolled loops,yes,4869,4378,6,5,0,247,applied,unroll pragma count=16
kv260_parallel_x1,optimization.parallel.partition_factor,applied,1,ARRAY_PARTITION pragma generated for partitioned arrays,yes,4869,4378,6,5,0,247,applied,array partition count=14
kv260_parallel_x1,optimization.tiling.dense,changed_or_clamped,"{'in': 8, 'out': 4}",dense tiled helper/marker generated,yes,4869,4378,6,5,0,247,applied,Dense tiling marker should appear for current MLP-style rows.
kv260_parallel_x1,optimization.tiling.conv,not_applicable,None,conv tiled helper/marker generated when Conv exists,no,4869,4378,6,5,0,247,applied_or_not_applicable,Conv tiling is only expected for Conv/training rows.
kv260_parallel_x1,memory.storage.weights,,'',BRAM embedded vs DDR weights_mem m_axi vs URAM bind/load path,mode=not_reported; weights_mem=no; impl_uram=no,4869,4378,6,5,0,247,not_required,Runtime package did not report external weight mode for this row.
kv260_parallel_x1,data_movement input/output/weights,,'',AXIS/AXI interface pragmas and normalized contract rows when requested,axis=yes; s_axilite=yes; weights_m_axi=no,4869,4378,6,5,0,247,applied,"For normalized DDR schema, contract should include data_movement.input.load/output.store/weights.load.interface."
kv260_parallel_x1,numerics precision,,'',fixed-point/ap_fixed typedefs and params reflect precision configuration,ap_fixed=no; params_present=yes,4869,4378,6,5,0,247,applied,Precision effect should be verified further by comparing typedef widths between precision rows.
kv260_parallel_x1,targets.platform.board,applied,'kv260',"board affects reports/part/clock, not necessarily deeplearn.cpp logic",report_level,4869,4378,6,5,0,247,report_only_or_backend,Board is mainly report/backend target metadata; same C++ can be logical across boards.
kv260_parallel_x2,optimization.pipeline.ii,applied,2,PIPELINE pragma generated when pipeline is active,yes,5991,4272,10,7,0,182,applied,pipeline pragma count=10
kv260_parallel_x2,optimization.parallel.unroll_factor,applied,2,UNROLL pragma generated for unrolled loops,yes,5991,4272,10,7,0,182,applied,unroll pragma count=16
kv260_parallel_x2,optimization.parallel.partition_factor,applied,2,ARRAY_PARTITION pragma generated for partitioned arrays,yes,5991,4272,10,7,0,182,applied,array partition count=14
kv260_parallel_x2,optimization.tiling.dense,changed_or_clamped,"{'in': 8, 'out': 4}",dense tiled helper/marker generated,yes,5991,4272,10,7,0,182,applied,Dense tiling marker should appear for current MLP-style rows.
kv260_parallel_x2,optimization.tiling.conv,not_applicable,None,conv tiled helper/marker generated when Conv exists,no,5991,4272,10,7,0,182,applied_or_not_applicable,Conv tiling is only expected for Conv/training rows.
kv260_parallel_x2,memory.storage.weights,,'',BRAM embedded vs DDR weights_mem m_axi vs URAM bind/load path,mode=not_reported; weights_mem=no; impl_uram=no,5991,4272,10,7,0,182,not_required,Runtime package did not report external weight mode for this row.
kv260_parallel_x2,data_movement input/output/weights,,'',AXIS/AXI interface pragmas and normalized contract rows when requested,axis=yes; s_axilite=yes; weights_m_axi=no,5991,4272,10,7,0,182,applied,"For normalized DDR schema, contract should include data_movement.input.load/output.store/weights.load.interface."
kv260_parallel_x2,numerics precision,,'',fixed-point/ap_fixed typedefs and params reflect precision configuration,ap_fixed=no; params_present=yes,5991,4272,10,7,0,182,applied,Precision effect should be verified further by comparing typedef widths between precision rows.
kv260_parallel_x2,targets.platform.board,applied,'kv260',"board affects reports/part/clock, not necessarily deeplearn.cpp logic",report_level,5991,4272,10,7,0,182,report_only_or_backend,Board is mainly report/backend target metadata; same C++ can be logical across boards.
kv260_parallel_x4,optimization.pipeline.ii,applied,2,PIPELINE pragma generated when pipeline is active,yes,5056,3531,24,5,0,90,applied,pipeline pragma count=10
kv260_parallel_x4,optimization.parallel.unroll_factor,applied,4,UNROLL pragma generated for unrolled loops,yes,5056,3531,24,5,0,90,applied,unroll pragma count=16
kv260_parallel_x4,optimization.parallel.partition_factor,applied,4,ARRAY_PARTITION pragma generated for partitioned arrays,yes,5056,3531,24,5,0,90,applied,array partition count=14
kv260_parallel_x4,optimization.tiling.dense,changed_or_clamped,"{'in': 8, 'out': 4}",dense tiled helper/marker generated,yes,5056,3531,24,5,0,90,applied,Dense tiling marker should appear for current MLP-style rows.
kv260_parallel_x4,optimization.tiling.conv,not_applicable,None,conv tiled helper/marker generated when Conv exists,no,5056,3531,24,5,0,90,applied_or_not_applicable,Conv tiling is only expected for Conv/training rows.
kv260_parallel_x4,memory.storage.weights,,'',BRAM embedded vs DDR weights_mem m_axi vs URAM bind/load path,mode=not_reported; weights_mem=no; impl_uram=no,5056,3531,24,5,0,90,not_required,Runtime package did not report external weight mode for this row.
kv260_parallel_x4,data_movement input/output/weights,,'',AXIS/AXI interface pragmas and normalized contract rows when requested,axis=yes; s_axilite=yes; weights_m_axi=no,5056,3531,24,5,0,90,applied,"For normalized DDR schema, contract should include data_movement.input.load/output.store/weights.load.interface."
kv260_parallel_x4,numerics precision,,'',fixed-point/ap_fixed typedefs and params reflect precision configuration,ap_fixed=no; params_present=yes,5056,3531,24,5,0,90,applied,Precision effect should be verified further by comparing typedef widths between precision rows.
kv260_parallel_x4,targets.platform.board,applied,'kv260',"board affects reports/part/clock, not necessarily deeplearn.cpp logic",report_level,5056,3531,24,5,0,90,report_only_or_backend,Board is mainly report/backend target metadata; same C++ can be logical across boards.
kv260_parallel_x8,optimization.pipeline.ii,applied,2,PIPELINE pragma generated when pipeline is active,yes,3584,3334,35,1,0,80,applied,pipeline pragma count=10
kv260_parallel_x8,optimization.parallel.unroll_factor,applied,8,UNROLL pragma generated for unrolled loops,yes,3584,3334,35,1,0,80,applied,unroll pragma count=16
kv260_parallel_x8,optimization.parallel.partition_factor,applied,8,ARRAY_PARTITION pragma generated for partitioned arrays,yes,3584,3334,35,1,0,80,applied,array partition count=14
kv260_parallel_x8,optimization.tiling.dense,changed_or_clamped,"{'in': 8, 'out': 4}",dense tiled helper/marker generated,yes,3584,3334,35,1,0,80,applied,Dense tiling marker should appear for current MLP-style rows.
kv260_parallel_x8,optimization.tiling.conv,not_applicable,None,conv tiled helper/marker generated when Conv exists,no,3584,3334,35,1,0,80,applied_or_not_applicable,Conv tiling is only expected for Conv/training rows.
kv260_parallel_x8,memory.storage.weights,,'',BRAM embedded vs DDR weights_mem m_axi vs URAM bind/load path,mode=not_reported; weights_mem=no; impl_uram=no,3584,3334,35,1,0,80,not_required,Runtime package did not report external weight mode for this row.
kv260_parallel_x8,data_movement input/output/weights,,'',AXIS/AXI interface pragmas and normalized contract rows when requested,axis=yes; s_axilite=yes; weights_m_axi=no,3584,3334,35,1,0,80,applied,"For normalized DDR schema, contract should include data_movement.input.load/output.store/weights.load.interface."
kv260_parallel_x8,numerics precision,,'',fixed-point/ap_fixed typedefs and params reflect precision configuration,ap_fixed=no; params_present=yes,3584,3334,35,1,0,80,applied,Precision effect should be verified further by comparing typedef widths between precision rows.
kv260_parallel_x8,targets.platform.board,applied,'kv260',"board affects reports/part/clock, not necessarily deeplearn.cpp logic",report_level,3584,3334,35,1,0,80,report_only_or_backend,Board is mainly report/backend target metadata; same C++ can be logical across boards.
